id,label,x,y,,,,,,,
50237,Luca,43.843,10.508,,,,,,,
50238,Lugdunum Cananefatium,52.161,4.49,,,,,,,
50239,Lugdunum Convenarum,43.027,0.573,,,,,,,
50240,Luguvalium,54.895,-2.934,,,,,,,
50241,Luna,44.066,10.031,,,,,,,
50242,Lutetia,48.856,2.342,,,,,,,
50243,Lydda,31.966,34.892,,,,,,,
50244,Lykopolis,27.184,31.187,,,,,,,
50245,Magnesia,37.853,27.533,,,,,,,
50246,Mampsoukrenai,37.073,34.886,,,,,,,
50247,Marcianopolis,43.225,27.585,,,,,,,
50248,Mariana,38.547,-2.927,,,,,,,
50249,Mamucio,53.481,-2.342,,,,,,,
50250,Massilia,43.297,5.382,,,,,,,
50251,Mediolanum,45.464,9.188,,,,,,,
50252,Mediolanum (Aquitania),45.5,-0.5,,,,,,,
50253,Melitene,38.25,37.25,,,,,,,
50254,Memphis,30.004,31.276,,,,,,,
50255,Minturnae,41.242,13.769,,,,,,,
50256,Misenum,40.786,14.085,,,,,,,
50257,Mogontiacum,50,8.271,,,,,,,
50258,Mounesis,24.684,30.606,,,,,,,
50259,Mursa,45.56,18.676,,,,,,,
50260,Musti,36.336,9.143,,,,,,,
50261,Mutina,44.647,10.925,,,,,,,
50262,Myos Hormos,26.157,34.244,,,,,,,
50263,Naissus,43.316,21.894,,,,,,,
50264,Narbo,43.214,3,,,,,,,
50265,Narnia,42.52,12.516,,,,,,,
50266,Narona,43.081,17.628,,,,,,,
50267,Naucratis,30.901,30.592,,,,,,,
50268,Neapolis,40.84,14.253,,,,,,,
50269,Nemausus,43.835,4.36,,,,,,,
50270,Nemetacum,50.293,2.782,,,,,,,
50271,Nicaea,40.43,29.714,,,,,,,
50272,Nicomedia,40.766,29.916,,,,,,,
50273,Nicopolis,39.008,20.736,,,,,,,
50274,Nicopolis (Pontus),40.161,38.139,,,,,,,
50275,Nisibis,37.067,41.216,,,,,,,
50276,Novae,43.601,25.396,,,,,,,
50277,Noviomagus,49.317,8.431,,,,,,,
50278,Nuceria,40.743,14.674,,,,,,,
50279,Ocriculum,42.412,12.467,,,,,,,
50280,Odessus,43.212,27.909,,,,,,,
50281,Oea,32.898,13.175,,,,,,,
50282,Oescus,43.698,24.482,,,,,,,
50283,Olisipo,38.707,-9.136,,,,,,,
50284,Omboi,24.467,32.95,,,,,,,
50285,Osca,42.14,-0.409,,,,,,,
50286,Ostia/Portus,41.755,12.288,,,,,,,
50287,Ovilava,48.157,14.025,,,,,,,
50288,Oxyrhynchus,28.673,30.626,,,,,,,
50289,Palantia,42.475,-5.297,,,,,,,
50290,Palmyra,34.768,38.286,,,,,,,
50291,Paraetonium,31.35,27.237,,,,,,,
50292,Parma,44.804,10.333,,,,,,,
50293,Parthanum,47.492,11.086,,,,,,,
50294,Patavium,45.41,11.877,,,,,,,
50295,Pax Iulia,38.016,-7.865,,,,,,,
50296,Pella,40.76,22.526,,,,,,,
50297,Pelusium,31.05,32.6,,E,,,,,
50298,Penne Locos,46.398,6.926,,,,,,,
50299,Perdices,35.932,5.39,,,,,,,
50300,Pergamum,39.131,27.185,,,,,,,
50301,Perinthus,40.971,27.953,,,,,,,
50302,Petra,30.326,35.468,,,,,,,
50303,Petuaria,53.688,-0.591,,,,,,,
50304,Philadelpheia,31.931,35.926,,,,,,,
50305,Philippi,41.014,24.283,,,,,,,
50306,Philippopolis,42.144,24.75,,,,,,,
50307,Pisae,43.716,10.397,,,,,,,
50308,Pistoriae,43.932,10.919,,,,,,,
50309,Placentia,45.052,9.699,,,,,,,
50310,Poetovio,46.42,15.87,,,,,,,
50311,Pola,44.87,13.841,,,,,,,
50312,Pompeii,40.749,14.485,,,,,,,
50313,Pompelo,42.818,-1.644,,,,,,,
50314,Pons Aeni,47.856,12.124,,,,,,,
50315,Pons Drusi,46.497,11.358,,,,,,,
50316,Porolissum,47.23,23.127,,,,,,,
50317,Portus,41.78,12.258,,,,,,,
50318,Potaissa,46.566,23.791,,,,,,,
50319,Praetorium,31.5,15.5,,,,,,,
50320,Ptolemais,32.708,20.951,,,,,,,
50321,Ptolemais Hermiou,26.478,31.804,,,,,,,
50322,Puteoli,40.824,14.122,,,,,,,
50323,Ravenna,44.416,12.197,,,,,,,
50324,Reate,42.403,12.861,,,,,,,
50325,Castra Regina,49.017,12.083,,,,,,,
50326,Regium,38.109,15.644,,,,,,,
50327,Roma,41.892,12.486,,,,,,,
50328,Rusaddir,35.292,-2.938,,,,,,,
50329,Rusicade,36.883,6.906,,,,,,,
50330,Rutupiae,51.294,1.332,,,,,,,
50331,Sabratha,32.806,12.485,,,,,,,
50332,Saguntum,39.68,-0.279,,,,,,,
50333,Sala,34.015,-6.833,,,,,,,
50334,Saldae,36.74,5.058,,,,,,,
50335,Salernum,40.678,14.766,,,,,,,
50336,Salona,43.54,16.483,,,,,,,
50337,Samarobriva,49.892,2.299,,,,,,,
50338,Samosata,37.565,38.471,,,,,,,
50339,Santicum,46.616,13.849,,,,,,,
50340,Sardis,38.488,28.04,,,,,,,
50341,Sarmizegethusa,45.623,23.31,,,,,,,
50342,Satala,40.029,39.654,,,,,,,
50343,Savaria,47.235,16.622,,,,,,,
50344,Scarbantia,47.685,16.583,,,,,,,
50345,Scodra,42.074,19.528,,,,,,,
50346,Scythopolis,32.61,35.477,,,,,,,
50347,Sebasteia,39.75,37.015,,,,,,,
50348,Segusio,45.138,7.048,,,,,,,
50349,Senia,44.99,14.901,,,,,,,
50350,Serdica,42.723,23.343,,,,,,,
50351,Servitium,45.151,17.256,,,,,,,
50352,Sicca Veneria,36.179,8.71,,,,,,,
50353,Side,36.776,31.398,,,,,,,
50354,Siga,35.24,-1.455,,,,,,,
50355,Singara,36.404,42.219,,,,,,,
50356,Singidunum,44.802,20.466,,,,,,,
50357,Sinuessa,41.25,14.25,,,,,,,
50358,Sipontum,41.607,15.896,,,,,,,
50359,Sirmium,44.966,19.61,,,,,,,
50360,Sisapo,38.645,-4.518,,,,,,,
